Labels,x^4,x^3,x^2,x^1,x^0
0,0,0,0,0,0.512114242704704
1,-0.777708404090237,0.0353983955266666,-0.458952640072311,0.482445378517467,-0.562240631087261
0,0,-0.639947046855749,0.884334070624007,-0.77699596909024,1.72463095276556
0,0,0,0,-0.502014049509163,-1.52154031476617
0,0,1.92798408584076,-0.646823457829032,-0.603597705375033,0.249652438625321
1,0,0,-1.10181583731959,0.634073381082509,-0.792598768617299
0,0,0,0,-0.345514928141167,-0.128603532601333
0,0,0,0,0.885551426120953,0.86864051997382
1,-1.42378520024351,-0.444804140587532,-0.577454608637848,0.677772765020951,1.09417742720734
1,0,0,-0.86100448665831,0.584277875246485,-1.04981451868135
0,0,0,0,0,1.05581611816955
1,1.10697748709074,0.706035435969663,2.30887186731231,1.61649076630521,-1.50579382599161
1,-0.761423288125096,0.109174266506002,0.407575120954188,-1.74779184359363,-0.223129509574471
0,0,-0.302005736694369,0.870817457607167,0.0640929408300941,0.992035742502011
0,0,0,0,0.64117038418595,1.13439587078413
0,0,0,0,0,-0.507463479401711
1,0.0936626059344016,0.239604237995182,-0.804706774918774,-0.638847563682958,0.282897305475384
0,0,0,0,0,-1.61389882633669
1,2.01738338872268,1.43484316196174,0.0895584929744528,-1.24597842092575,-0.797626879163803
1,0,0,-1.1450456106599,0.793607564816714,0.0281443698398869
0,0,0,0,0,-1.29070460260772
1,0,0,-2.27720420852501,0.537184914493633,0.339743584213666
0,0,2.01309118007179,1.26399581681851,-0.456601414192041,-1.06359442820884
1,0,0,1.14140353870469,1.19007890731857,1.37958057642188
1,0.528075932461067,1.40666524434687,-1.06794422409364,-0.611420838082732,-0.595812396083836
0,0,0,0,0,-0.319602604311108
1,0,0,-2.06257876112921,0.678599511704009,0.736073613079218
0,0,0,0,1.25844372368043,0.527490604880149
1,1.79411174834887,1.03773642633345,1.21604551667793,1.10105794870231,0.133826551672584
0,0,0,0,0,-0.257861333184289
1,-1.17820656565142,0.783308134935445,-0.524603481595785,-0.531603255517829,0.399328167356941
1,-0.352048579910445,1.45667394833486,0.637485780310668,0.344325413109361,-1.40679844393125
1,0.966497799519681,-0.56478154676729,-0.500470283173124,0.387573266443372,1.38398123755165
0,0,0.59213149338655,-0.802290751141104,-1.37479746981652,0.98024821823887
